issue,draw_time,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
115000217,2026/01/02,2,8,9,12,17,23,24,32,36,39,41,43,59,61,62,66,69,70,79,80
115000218,2026/01/02,13,16,17,19,23,25,28,34,39,40,42,43,44,46,51,53,68,70,77,80
115000219,2026/01/02,2,5,8,9,13,15,16,19,21,29,42,52,54,58,59,64,65,67,71,78
115000220,2026/01/02,1,4,5,11,23,28,30,34,35,46,51,54,57,59,66,67,68,70,75,79
115000221,2026/01/02,2,8,12,20,26,27,35,37,44,45,49,50,59,62,65,68,69,72,73,75
115000222,2026/01/02,1,20,22,23,27,28,30,32,33,35,39,40,52,55,56,57,60,74,78,79
115000223,2026/01/02,2,4,5,7,13,19,20,21,22,25,28,31,34,39,40,44,51,57,59,68
115000224,2026/01/02,1,2,6,9,20,31,32,33,34,37,39,40,41,49,50,52,60,62,76,78
115000225,2026/01/02,2,5,8,11,23,25,27,34,35,40,41,45,47,48,49,50,70,71,75,78
115000226,2026/01/02,1,4,16,18,21,26,28,30,31,37,40,42,46,47,49,55,56,62,71,77
115000227,2026/01/02,2,3,4,5,6,8,15,20,27,28,29,35,36,44,47,68,69,74,75,76
115000228,2026/01/02,1,4,7,12,13,14,26,34,37,44,48,49,51,54,56,61,64,70,74,79
115000229,2026/01/02,6,8,13,17,18,19,20,21,26,30,37,38,45,50,51,54,66,73,75,78
115000230,2026/01/02,5,13,22,31,36,37,39,40,41,43,46,52,53,59,63,65,69,72,73,77
115000231,2026/01/02,6,9,10,13,14,15,18,20,21,23,36,40,41,42,54,58,68,69,70,76
115000232,2026/01/02,6,8,9,18,22,23,24,25,26,30,31,38,40,41,45,49,51,58,66,72
115000233,2026/01/02,17,22,27,32,33,34,37,38,42,43,44,45,47,49,50,59,61,64,72,78
115000234,2026/01/02,1,3,6,7,15,19,21,30,32,33,37,44,46,48,62,70,73,75,76,77
115000235,2026/01/02,6,10,11,18,25,28,29,30,31,34,38,40,42,51,61,62,64,68,70,72
115000236,2026/01/02,5,9,11,16,18,20,27,30,32,36,53,57,60,63,65,66,76,78,79,80
115000237,2026/01/02,3,6,9,13,14,16,19,20,21,28,29,31,45,49,54,59,62,63,67,71
115000238,2026/01/02,5,10,18,25,32,35,37,39,40,43,44,53,56,60,66,69,70,74,76,80
115000239,2026/01/02,2,3,4,6,22,24,25,28,38,52,53,54,63,65,71,72,73,76,78,79
115000240,2026/01/02,3,12,19,22,24,26,33,36,40,42,44,51,54,57,58,59,60,67,69,72
115000241,2026/01/02,7,12,17,18,19,21,23,29,31,33,53,59,60,62,63,69,70,74,77,80
115000242,2026/01/02,1,14,20,21,23,26,27,38,40,41,42,44,47,49,51,66,71,77,78,80
115000243,2026/01/02,10,13,14,18,23,26,32,33,34,35,40,49,59,64,68,69,72,75,76,77
115000244,2026/01/02,2,4,21,22,25,26,34,38,41,43,44,48,54,55,57,66,67,69,71,74
115000245,2026/01/02,7,8,12,16,35,38,40,43,44,45,46,47,55,65,70,71,72,75,78,79
115000246,2026/01/02,10,14,20,22,32,36,40,46,48,49,50,52,53,58,61,62,71,74,75,76
115000247,2026/01/02,1,2,8,17,21,23,26,27,37,40,52,55,59,63,68,69,73,74,75,80
115000248,2026/01/02,9,14,18,19,20,27,29,34,36,39,43,44,47,54,58,59,60,61,67,71
115000249,2026/01/02,1,7,11,26,30,36,37,45,48,51,54,58,59,64,66,67,69,70,72,78
115000250,2026/01/02,5,6,9,15,17,19,21,33,36,49,50,51,53,59,61,66,70,74,78,80
115000251,2026/01/02,2,5,6,9,13,14,21,23,31,44,48,50,54,55,60,63,65,67,74,78
115000252,2026/01/02,8,10,11,13,23,24,36,40,44,45,46,47,53,54,57,61,65,74,76,80
115000253,2026/01/02,2,8,18,19,21,25,27,35,36,37,42,44,46,53,57,59,70,73,74,76
115000254,2026/01/02,1,4,6,8,14,15,18,22,27,32,35,36,41,45,47,56,62,68,70,73
115000255,2026/01/02,1,2,6,8,10,17,18,19,35,40,48,51,52,56,57,62,63,72,76,78
115000256,2026/01/02,3,4,20,25,29,30,32,33,34,41,44,46,52,56,58,63,64,65,68,75
115000257,2026/01/02,4,5,10,11,13,20,21,24,25,27,28,30,34,44,53,62,66,70,72,80
115000258,2026/01/02,2,4,8,10,11,13,14,27,34,37,38,41,45,47,52,57,70,71,77,80
115000259,2026/01/02,6,9,16,29,33,38,39,41,43,46,49,50,52,53,56,57,63,72,76,80
115000260,2026/01/02,1,4,7,13,18,23,24,26,29,34,35,36,39,48,52,53,57,60,61,77
115000261,2026/01/02,6,7,15,19,22,26,27,31,33,35,40,43,44,51,52,59,60,65,66,80
115000262,2026/01/02,3,8,9,15,16,17,18,19,26,28,31,33,42,45,57,60,61,73,75,77
115000263,2026/01/02,1,4,6,8,11,24,28,35,39,47,49,50,52,53,61,69,72,77,79,80
115000264,2026/01/02,3,5,7,8,13,15,21,24,31,35,38,44,49,57,59,60,62,64,67,72
115000265,2026/01/02,2,4,11,12,13,16,24,25,26,35,42,52,55,61,62,63,65,68,70,74
115000266,2026/01/02,1,2,3,12,17,18,22,25,26,33,42,44,45,49,56,59,61,63,66,69
115000267,2026/01/02,2,10,11,15,18,19,23,26,33,35,41,49,53,54,55,57,68,72,77,80
