scheme,board_id,size_class,mask_ratio,mask_idx,target_number,rank,top1,top3,top5,top10,active_module_count_mean,abstain_rate,no_informative_modules_rate,score_std,final_score_std
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,64,16,0,0,0,0,4.5,0.55,0.0,0.0533743760613271,0.0533743760613271
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,64,16,0,0,0,0,2.0833333333333335,0.7916666666666666,0.0,0.06797822696002011,0.06797822696002011
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,64,6,0,0,0,1,1.7916666666666667,0.8208333333333333,0.0,0.06356846554235006,0.06356846554235006
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,64,12,0,0,0,0,8.958333333333334,0.0,0.0,0.059170602073255904,0.059170602073255904
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,64,19,0,0,0,0,9.458333333333334,0.0,0.0,0.06245404547910489,0.06245404547910489
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,67,24,0,0,0,0,9.125,0.0,0.0,0.05936267927705258,0.05936267927705258
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,67,24,0,0,0,0,4.5,0.5591836734693878,0.0,0.04637080988590046,0.04637080988590046
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,67,8,0,0,0,1,2.3333333333333335,0.7714285714285715,0.0,0.07241534776932602,0.07241534776932602
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,67,14,0,0,0,0,1.9583333333333333,0.8081632653061225,0.0,0.06744360313254284,0.06744360313254284
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,67,24,0,0,0,0,9.125,0.0,0.0,0.052714496020259564,0.052714496020259564
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,67,24,0,0,0,0,9.458333333333334,0.0,0.0,0.05936267927705258,0.05936267927705258
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,74,22,0,0,0,0,9.0,0.0,0.0,0.07695575132976312,0.07695575132976312
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,74,15,0,0,0,0,4.5,0.5518672199170125,0.0,0.0601817514963091,0.0601817514963091
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,74,13,0,0,0,0,2.0833333333333335,0.7925311203319502,0.0,0.08094613461497627,0.08094613461497627
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,74,18,0,0,0,0,1.75,0.8257261410788381,0.0,0.07638254028574858,0.07638254028574858
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,74,18,0,0,0,0,9.0,0.0,0.0,0.0651173966568907,0.0651173966568907
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,74,22,0,0,0,0,9.458333333333334,0.0,0.0,0.07695575132976311,0.07695575132976311
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,75,3,0,1,1,1,9.0,0.0,0.0,0.07708582859871685,0.07708582859871685
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,75,11,0,0,0,0,4.5,0.5537190082644629,0.0,0.06100160051188351,0.06100160051188351
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,75,6,0,0,0,1,2.125,0.7892561983471075,0.0,0.08030981083057519,0.08030981083057519
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,75,4,0,0,1,1,1.75,0.8264462809917356,0.0,0.07532591061141891,0.07532591061141891
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,75,3,0,1,1,1,9.0,0.0,0.0,0.06528598570903607,0.06528598570903607
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,75,3,0,1,1,1,9.416666666666666,0.0,0.0,0.07708582859871685,0.07708582859871685
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,76,13,0,0,0,0,8.958333333333334,0.0,0.0,0.07812740077729662,0.07812740077729662
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,76,18,0,0,0,0,4.541666666666667,0.5477178423236515,0.0,0.06201660646722712,0.06201660646722712
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,76,17,0,0,0,0,2.125,0.7883817427385892,0.0,0.0771320425973616,0.0771320425973616
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,76,20,0,0,0,0,1.7916666666666667,0.8215767634854771,0.0,0.0715358407989712,0.0715358407989712
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,76,16,0,0,0,0,8.958333333333334,0.0,0.0,0.06817541389210564,0.06817541389210564
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,76,13,0,0,0,0,9.458333333333334,0.0,0.0,0.07812740077729663,0.07812740077729663
