case_id,group_id,row,col,baseline_score,baseline_rank,score_gap_to_top1,score_gap_to_top3,candidate_count,row_norm,col_norm,dist_to_center,is_border,is_corner,module_consensus_top1,module_consensus_top3,module_consensus_top5,label,module_score_logic_rule,module_rank_logic_rule,module_score_pattern_model,module_rank_pattern_model,module_score_prior_model,module_rank_prior_model
default_2,default_2,7,9,0.242724,23,0.502731,0.37814600000000004,40,0.875,0.9,0.6,0,0,0,1,1,0,0.100317,12,0.363636,3,0.285714,6
default_2,default_2,7,4,0.237025,24,0.5084299999999999,0.383845,40,0.875,0.4,0.4,0,0,0,0,2,0,0.03412,23,0.272727,4,0.571429,4
default_2,default_2,4,9,0.223454,25,0.5220009999999999,0.397416,40,0.5,0.9,0.4,0,0,0,0,2,0,0.068376,18,0.204545,5,0.571429,4
default_2,default_2,6,10,0.206771,26,0.5386839999999999,0.414099,40,0.75,1.0,0.6,1,0,0,0,2,0,0.169524,5,0.204545,5,0.285714,6
default_2,default_2,3,4,0.205121,27,0.540334,0.41574900000000004,40,0.375,0.4,0.3,0,0,0,1,1,0,0.110204,10,0.045455,7,0.714286,3
default_2,default_2,1,9,0.198961,28,0.546494,0.42190900000000003,40,0.125,0.9,0.7,1,0,0,0,2,0,0.221429,4,0.204545,5,0.142857,7
default_2,default_2,1,8,0.190161,29,0.555294,0.430709,40,0.125,0.8,0.6,1,0,0,0,1,0,0.128,9,0.204545,5,0.285714,6
default_2,default_2,2,9,0.189351,30,0.5561039999999999,0.43151900000000004,40,0.25,0.9,0.6,0,0,0,0,1,0,0.221429,4,0.109091,6,0.285714,6
default_2,default_2,7,7,0.186393,31,0.559062,0.434477,40,0.875,0.7,0.4,0,0,0,0,1,0,0.071178,17,0.109091,6,0.571429,4
default_2,default_2,4,1,0.176366,32,0.569089,0.444504,40,0.5,0.1,0.5,1,0,0,0,2,0,0.022084,26,0.204545,5,0.428571,5
default_2,default_2,3,8,0.168336,33,0.5771189999999999,0.452534,40,0.375,0.8,0.4,0,0,0,0,1,0,0.08967,14,0.045455,7,0.571429,4
default_2,default_2,2,6,0.163102,34,0.582353,0.45776800000000006,40,0.25,0.6,0.3,0,0,0,1,1,0,0.005159,30,0.045455,7,0.714286,3
default_2,default_2,4,2,0.151126,35,0.594329,0.46974400000000005,40,0.5,0.2,0.4,0,0,0,0,1,0,0.046647,22,0.045455,7,0.571429,4
default_2,default_2,1,3,0.139901,36,0.6055539999999999,0.48096900000000004,40,0.125,0.3,0.6,1,0,0,0,1,0,0.00235,31,0.204545,5,0.285714,6
default_2,default_2,3,2,0.13899,37,0.606465,0.48188000000000003,40,0.375,0.2,0.5,0,0,0,0,1,0,0.087734,15,0.045455,7,0.428571,5
default_2,default_2,2,4,0.132468,38,0.612987,0.488402,40,0.25,0.4,0.4,0,0,0,0,1,0,0.0,32,0.045455,7,0.571429,4
default_2,default_2,7,2,0.114178,39,0.631277,0.506692,40,0.875,0.2,0.6,0,0,0,0,0,0,0.033498,24,0.109091,6,0.285714,6
default_2,default_2,2,2,0.060224,40,0.6852309999999999,0.560646,40,0.25,0.2,0.6,0,0,0,0,0,0,0.007703,29,0.0,8,0.285714,6
default_3,default_3,1,10,0.8,1,0.0,-0.221144,40,0.125,1.0,0.8,1,1,2,2,2,0,1.0,1,1.0,1,0.0,8
default_3,default_3,1,3,0.679365,2,0.12063500000000005,-0.10050899999999996,40,0.125,0.3,0.6,1,0,1,2,2,0,1.0,1,0.555556,3,0.285714,6
default_3,default_3,5,7,0.578856,3,0.221144,0.0,40,0.625,0.7,0.2,0,0,1,2,2,0,0.018568,23,1.0,1,0.857143,2
default_3,default_3,2,10,0.493596,4,0.30640400000000007,0.08526000000000006,40,0.25,1.0,0.7,1,0,1,1,2,0,0.162562,4,1.0,1,0.142857,7
default_3,default_3,5,6,0.485057,5,0.31494300000000003,0.09379900000000002,40,0.625,0.6,0.1,0,0,1,2,3,0,0.37931,2,0.333333,5,1.0,1
default_3,default_3,4,8,0.458379,6,0.34162100000000006,0.12047700000000006,40,0.5,0.8,0.3,0,0,0,2,2,0,0.055472,13,0.733333,2,0.714286,3
