variant,size_class,board_id,target_row,target_col,target_number,rank,top1_hit,top3_hit,top5_hit,top10_hit,spatial_applied,spatial_affected_count,spatial_total_penalty,topk_max_cluster_size,topk_adjacent_pair_rate
baseline,10x8,10x8_1,3,5,31,6,0,0,0,1,0,0,0.0,4.0,0.13333333333333333
baseline,10x8,10x8_1,5,4,30,40,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x8,10x8_1,10,1,32,3,0,1,1,1,0,0,0.0,4.0,0.13333333333333333
baseline,10x8,10x8_1,8,4,70,18,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x12,10x12_0,9,1,90,46,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x12,10x12_0,3,11,52,51,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x12,10x12_0,10,7,99,27,0,0,0,0,0,0,0.0,3.0,0.08888888888888889
baseline,10x12,10x12_0,5,10,106,6,0,0,0,1,0,0,0.0,3.0,0.1111111111111111
baseline,10x12,10x12_0,4,9,75,48,0,0,0,0,0,0,0.0,4.0,0.13333333333333333
baseline,10x12,10x12_0,8,7,24,38,0,0,0,0,0,0,0.0,5.0,0.08888888888888889
baseline,10x12,10x12_0,4,1,18,11,0,0,0,0,0,0,0.0,5.0,0.13333333333333333
baseline,10x12,10x12_0,1,4,4,2,0,1,1,1,0,0,0.0,3.0,0.1111111111111111
baseline,10x12,10x12_0,9,9,69,57,0,0,0,0,0,0,0.0,2.0,0.044444444444444446
baseline,10x12,10x12_0,2,3,83,49,0,0,0,0,0,0,0.0,3.0,0.06666666666666667
baseline,10x12,10x12_0,2,7,43,39,0,0,0,0,0,0,0.0,2.0,0.044444444444444446
baseline,10x12,10x12_0,5,11,88,18,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x12,10x12_0,1,1,23,55,0,0,0,0,0,0,0.0,5.0,0.08888888888888889
baseline,10x12,10x12_0,9,12,66,23,0,0,0,0,0,0,0.0,2.0,0.044444444444444446
baseline,10x12,10x12_0,10,9,84,29,0,0,0,0,0,0,0.0,3.0,0.06666666666666667
baseline,10x12,10x12_0,6,12,48,5,0,0,1,1,0,0,0.0,2.0,0.06666666666666667
baseline,10x12,10x12_0,6,3,55,2,0,1,1,1,0,0,0.0,3.0,0.08888888888888889
baseline,10x12,10x12_0,6,4,11,24,0,0,0,0,0,0,0.0,9.0,0.3111111111111111
baseline,10x12,10x12_0,8,12,70,14,0,0,0,0,0,0,0.0,2.0,0.044444444444444446
baseline,10x12,10x12_0,3,12,21,55,0,0,0,0,0,0,0.0,6.0,0.17777777777777778
baseline,10x12,10x12_0,1,3,102,53,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x12,10x12_0,3,3,107,59,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x12,10x12_0,3,9,50,13,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x12,10x12_0,6,11,111,25,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x12,10x12_0,4,10,60,25,0,0,0,0,0,0,0.0,2.0,0.044444444444444446
baseline,10x12,10x12_0,2,9,34,11,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x12,10x12_0,6,2,41,15,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x12,10x12_0,1,5,89,32,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x12,10x12_0,3,7,36,24,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x12,10x12_0,9,8,120,10,0,0,0,1,0,0,0.0,5.0,0.15555555555555556
baseline,10x12,10x12_0,5,6,9,32,0,0,0,0,0,0,0.0,8.0,0.24444444444444444
baseline,10x12,10x12_0,9,4,86,54,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x12,10x12_0,10,1,112,44,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x12,10x12_0,7,10,64,10,0,0,0,1,0,0,0.0,3.0,0.044444444444444446
baseline,10x12,10x12_0,3,2,47,49,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
